artist,artist_id,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count,labels
Drake,3TVXtAsR1Inumwj472S9r4,103393441.0,rap,95.0,artist,"122,491.8",48.224,"83,627.9","46,307.8",127456306.0,47.0,14.0,
Taylor Swift,06HL4z0CvFAxyc27GXpf02,145960477.0,nan,100.0,artist,"114,464.0",73.087,"110,924.1","101,320.6",91931989.0,41.0,12.0,
Cardi B,4kYSro6naA4h99UJvo89HB,25984396.0,nan,81.0,artist,"21,077.3",6.05,"9,923.9","4,005.8",46310865.0,18.0,0.0,
Bad Bunny,4q3ewBCX7sLwd24euuV69X,102944627.0,"reggaeton, trap latino, urbano latino, latin",96.0,artist,"108,856.3",48.179,"69,861.9","40,392.9",19689780.0,51.0,8.0,
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,9424183.0,"reggaeton, trap latino, urbano latino",80.0,artist,"15,882.5",5.066,"6,822.5","1,881.5",2446826.0,11.0,0.0,
Anuel AA,2R21vXR83lH98kGeO99Y66,44916330.0,"reggaeton, trap latino, urbano latino, latin",87.0,artist,"35,573.2",16.833,"16,435.9","5,416.7",5799685.0,35.0,8.0,
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,113413144.0,nan,94.0,artist,"86,408.1",40.98,"69,564.2","46,496.7",121152979.0,45.0,27.0,
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,85170938.0,nan,91.0,artist,"65,506.9",26.747,"40,668.3","24,976.2",34057486.0,18.0,11.0,
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,107551510.0,pop,91.0,artist,"60,848.3",28.3,"50,709.6","36,843.6",62888270.0,26.0,12.0,
Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,3203926.0,country,67.0,artist,"5,163.7",0.831,"4,977.4","3,589.8",3142522.0,15.0,9.0,
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,122959276.0,soft pop,88.0,artist,"60,704.6",19.026,"54,089.1","43,648.0",52414432.0,23.0,8.0,
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,6616382.0,nan,80.0,artist,"14,056.0",5.296,"12,344.9","5,888.6",6811124.0,17.0,10.0,
Sean Kingston,6S0dmVVn4udvppDhZIWxCr,3781061.0,nan,71.0,artist,"3,560.2",1.707,"3,255.0","2,040.2",5576581.0,17.0,7.0,"Time Is Money Entertainment, SONY BMG MUSIC ENTERTAINMENT, Icon Music Inc, Teamfoxx/ Zion Beatz/ Boogy Rankss, Sony Music Entertainment, Time Is Money Entertainment / EMPIRE, God Family Cash, Epic Records, a division of Sony Music Entertainment"
Jessie J,2yLzlEFtIS0Q9UkyBZdQA7,1642059.0,nan,77.0,artist,"5,382.1",1.504,"5,255.2","2,629.7",5639844.0,16.0,0.0,
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,41249103.0,rap,90.0,artist,"60,193.5",21.593,"32,599.6","23,495.8",54443985.0,28.0,12.0,
Young Thug,50co4Is1HCEo8bhOyUWKpn,12450209.0,"rap, melodic rap, trap",84.0,artist,"28,645.7",8.922,"9,582.0","2,439.6",18179282.0,24.0,0.0,
Eminem,7dGJo4pcD2V6oG8kP0tJRR,104782606.0,"rap, hip hop",89.0,artist,"59,982.5",18.264,"50,468.3","30,614.4",169045643.0,43.0,5.0,
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,31123634.0,rap,90.0,artist,"58,618.1",21.904,"41,510.5","25,985.5",124323734.0,40.0,10.0,
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,10408337.0,"hip hop, east coast hip hop, rap",83.0,artist,"22,155.9",8.396,"11,967.1","2,543.3",54755916.0,20.0,0.0,
Big Sean,0c173mlxpT3dSFRgMO8XPh,11549429.0,nan,74.0,artist,"15,444.3",2.575,"6,878.8","2,104.6",37625903.0,17.0,1.0,
Lil Pump,3wyVrVrFCkukjdVIdirGVY,7568948.0,nan,61.0,artist,"5,047.0",0.445,"2,412.7","1,971.8",28412943.0,16.0,13.0,
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,69227410.0,nan,91.0,artist,"53,372.2",25.288,"39,127.2","26,174.1",56239101.0,29.0,11.0,
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,119093338.0,nan,91.0,artist,"52,421.4",26.087,"51,659.3","46,425.1",69808657.0,25.0,18.0,
Post Malone,246dkjvS1zLTtiykXe5h60,47760255.0,nan,86.0,artist,"51,901.7",11.902,"46,041.3","24,190.6",42716429.0,18.0,12.0,
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,44748029.0,"hip hop, west coast hip hop",89.0,artist,"51,560.2",19.627,"36,998.6","21,550.9",138295393.0,28.0,9.0,
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,39168085.0,"reggaeton, latin",86.0,artist,"50,254.6",14.1,"23,029.6","7,217.5",4502600.0,18.0,0.0,
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,20620656.0,"reggaeton, latin",81.0,artist,"24,022.7",7.075,"10,175.6","2,670.7",1838803.0,9.0,3.0,
Chris Jedi,0qTZZWLzuD59Un5r1speHm,2843320.0,"trap latino, reggaeton, urbano latino",66.0,artist,"2,631.5",0.951,"1,957.6",nan,1256551.0,9.0,1.0,"Drip 369 Media Group, Inc., Star Island Inc, UMG Recordings, Inc., La Familia Records / Under Water Music / Encore Recordings, Distributed By UMG Recordings, Inc."
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,27176115.0,edm,87.0,artist,"38,072.0",14.661,"27,739.1",360.0,8130975.0,32.0,3.0,
Anitta,7FNnA9vBm6EKceENgCGRMb,13251712.0,"brazilian pop, funk pop, brazilian funk, funk carioca",79.0,artist,"14,119.7",4.774,"6,900.1","2,929.5",610402.0,17.0,5.0,
Future,1RyvyyTE3xzB2ZywiAwp0i,22754990.0,rap,89.0,artist,"49,194.3",18.977,"25,378.1","11,380.0",31899379.0,15.0,5.0,
Jay Rock,28ExwzUQsvgJooOI0X1mr3,1635914.0,nan,69.0,artist,"4,023.4",1.301,"1,708.0",287.5,12312957.0,18.0,8.0,Jay Webb Records
Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,2416774.0,nan,67.0,artist,"4,105.3",0.876,"3,125.1","1,448.2",11387778.0,19.0,2.0,"Twenty Nine Music Group Distributed By Tully, Twenty Nine Music Group Distributed by Tully2020, Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., Team Bang Dope Gang, Twenty Nine Music Group Distributed by Tully, Dead Silence"
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,42478653.0,"art pop, pop",89.0,artist,"33,047.4",20.154,"32,512.0","20,681.5",64216210.0,28.0,13.0,
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,75722954.0,nan,90.0,artist,"47,986.7",25.473,"34,278.0","27,889.5",42619883.0,28.0,13.0,
Silk Sonic,6PvvGcCY2XtUcSRld1Wilr,945727.0,nan,69.0,artist,"3,462.3",1.435,nan,nan,7721689.0,5.0,5.0,Aftermath Entertainment and Atlantic Recording Corporation
BTS,3kYFawNQVZ00FQbgs4rVBe,131777.0,pop punk,39.0,artist,"45,471.1",11.515,"40,460.1","36,827.2",12526307.0,7.0,3.0,
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,39423857.0,"reggaeton, trap latino, latin, urbano latino",86.0,artist,"43,549.3",13.912,"18,437.3","7,852.1",4229520.0,17.0,4.0,
Sech,77ziqFxp5gaInVrF2lj4ht,12063840.0,"reggaeton, urbano latino",78.0,artist,"18,434.2",4.603,"7,073.6","2,254.4",1756141.0,8.0,1.0,
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,11049944.0,"reggaeton, latin, urbano latino, bachata",71.0,artist,"8,474.4",1.598,"3,361.7",657.3,742955.0,7.0,4.0,
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,42674578.0,"melodic rap, emo rap",85.0,artist,"43,435.5",11.806,"31,978.4","24,963.4",29853934.0,30.0,17.0,
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,21376081.0,nan,80.0,artist,"22,281.4",6.151,"21,206.7","3,912.9",18786796.0,20.0,8.0,
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,60972314.0,nan,88.0,artist,"42,246.5",19.415,"38,682.2","34,690.8",33931116.0,27.0,22.0,
Migos,6oMuImdp5ZcFhWP0ESe6mG,14653658.0,trap,74.0,artist,"14,894.5",2.073,"9,968.7","4,588.4",46411432.0,19.0,11.0,
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,34325866.0,nan,85.0,artist,"40,178.6",10.774,"15,311.1","8,964.6",42497256.0,27.0,4.0,
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,28437812.0,r&b,88.0,artist,"39,814.5",17.045,"21,896.9","10,935.5",16150839.0,16.0,2.0,
Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,2523706.0,nan,63.0,artist,"1,435.3",0.644,"1,250.9",433.3,2480068.0,14.0,3.0,"Disrupt Group, Tribl Records, 19 Recordings Ltd. under exclusive license to Sony Music Entertainment, Cozy Touring Inc. under exclusive license to LBD GLOBAL GROUP Inc., JBR Creative Group, 19 Recordings Ltd. under exclusive license to RCA/JIVE Label Group, a unit of Sony Music Entertainment, David Schocke"
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,46952548.0,pop,85.0,artist,"38,735.6",12.355,"26,024.2","21,224.3",19333305.0,16.0,9.0,
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,15120223.0,"edm, progressive house, electronica",75.0,artist,"12,786.8",2.092,"11,610.4","1,126.0",7339735.0,27.0,9.0,
Calvin Harris,7CajNmpbOovFoOoasH2HaY,23090051.0,edm,84.0,artist,"30,970.6",9.373,"28,790.3","5,338.8",16861708.0,23.0,16.0,
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,51813125.0,emo rap,84.0,artist,"38,143.8",9.596,"32,664.4","26,704.9",62504083.0,25.0,13.0,
Lil Peep,2kCcBybjl3SAtIcwdWpUe3,15749321.0,"emo rap, cloud rap",82.0,artist,"16,989.1",8.301,"16,133.7","8,743.3",32453600.0,38.0,22.0,
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,12465799.0,nan,77.0,artist,"16,678.7",3.248,"12,749.1","7,747.0",7450930.0,16.0,6.0,
Sean Paul,3Isy6kedDrgPYoTS1dazA9,5292280.0,dancehall,82.0,artist,"15,708.0",7.377,"8,045.1","3,778.3",2617085.0,12.0,3.0,
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,3588065.0,"big room, electronica, edm",71.0,artist,"4,374.6",1.535,"3,814.1",25.5,633917.0,14.0,2.0,"BSMNT, Emme Sound under exclusive license to B1 Recordings GmbH, a Sony Music Entertainment company., Smash The House"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,58439284.0,nan,86.0,artist,"37,554.5",12.864,"35,418.1","31,567.0",32681239.0,19.0,10.0,
Lil Wayne,55Aa2cqylxrFIXC767Z865,17994695.0,"rap, hip hop",86.0,artist,"36,816.4",13.647,"14,304.3","3,920.1",32201096.0,27.0,7.0,
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,52056377.0,nan,89.0,artist,"37,454.7",19.678,"33,780.4","30,300.0",25565853.0,23.0,7.0,
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,10993069.0,latin,74.0,artist,"9,183.8",2.097,"8,137.9","1,409.9",53494736.0,10.0,5.0,
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,37900199.0,"reggaeton, latin",86.0,artist,"36,874.0",12.795,"17,827.6","9,467.5",4889858.0,15.0,5.0,
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,35616541.0,nan,79.0,artist,"20,271.5",4.349,"11,660.8","6,022.8",20114117.0,17.0,10.0,
Lunay,47MpMsUfWtgyIIBEFOr4FE,9902302.0,reggaeton,69.0,artist,"5,425.1",1.14,"3,001.0",158.5,775349.0,9.0,0.0,
21 Savage,1URnnhqYAYcrqrcwql10ft,23889401.0,nan,84.0,artist,"36,388.8",10.17,"14,830.9","7,405.2",30780577.0,22.0,10.0,
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,27119819.0,rap,83.0,artist,"29,353.6",7.861,"22,110.1","17,359.5",73679210.0,34.0,0.0,
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,11727578.0,nan,84.0,artist,"26,414.6",10.438,"12,636.0",113.1,4915589.0,11.0,1.0,
Alex Rose,2DspEsT7UXGKd2VaaedgG4,4449566.0,"trap latino, reggaeton, urbano latino",69.0,artist,"3,978.4",1.451,"2,662.3",229.4,2079443.0,14.0,1.0,"WK Records LLC, Los Oidos Fresh/ Los Proximos, WK Records, El Patron Music, LLC, Los del Swaggy / WK Records LLC"
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,31212602.0,"reggaeton, urbano latino, trap latino, latin",89.0,artist,"36,073.9",20.672,"21,774.1","9,025.4",1189789.0,21.0,5.0,
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,13664860.0,"trap latino, reggaeton, trap, urbano latino",81.0,artist,"10,751.3",6.631,"3,719.4","1,305.7",1943035.0,15.0,0.0,
KAROL G,790FomKkXshlbRYZFtlgla,60577183.0,"reggaeton, latin, urbano latino",88.0,artist,"33,775.3",15.271,"26,150.8","12,961.1",3124793.0,24.0,0.0,
SZA,15MhssYzR2iVJ9M3dJtsqm,822.0,nan,12.0,artist,"34,919.3",16.099,"22,826.8","17,820.1",23890156.0,15.0,5.0,
Khalid,6LuN9FCkKOj5PcnpouEgny,16960408.0,nan,82.0,artist,"33,952.4",7.498,"17,640.5","11,874.0",15120072.0,15.0,10.0,
benny blanco,5CiGnKThu5ctn9pBxv7DGa,1636941.0,nan,73.0,artist,"6,558.7",1.711,"4,215.1",3.8,5123508.0,7.0,5.0,
Becky G,4obzFoKoKRHIphyHzJ35G3,16679779.0,"reggaeton, latin",75.0,artist,"12,137.4",2.465,"8,095.4","1,982.6",1716165.0,12.0,0.0,
Lil Baby,5f7VJjfbwm532GiveGC0ZK,21715085.0,nan,85.0,artist,"33,182.7",10.18,"17,032.8","8,023.8",14017462.0,19.0,7.0,
Maroon 5,04gDigrS5kc9YWfZHwBETP,45851544.0,pop,85.0,artist,"32,458.1",12.129,"32,239.3","20,996.4",24993600.0,19.0,0.0,
Maluma,1r4hJ1h58CWwUQe3MxPuau,38666840.0,"reggaeton, latin, urbano latino",84.0,artist,"31,690.8",10.208,"17,697.6","10,555.1",2418067.0,13.0,4.0,
Madonna,6tbjWDEIzxoDsBA1FuhfPW,8813944.0,nan,79.0,artist,"10,239.3",4.586,"8,648.5","7,210.0",3810528.0,15.0,9.0,
Stephanie Beatriz,5PYToRCsrnvikZg3yl2JMr,76091.0,nan,66.0,artist,"1,752.6",0.807,549.4,174.4,557333.0,3.0,1.0,A24 Music
Feid,2LRoIwlKmHjgvigdNGBHNo,18958738.0,"reggaeton, urbano latino",86.0,artist,"30,990.6",13.045,"16,769.3","8,854.3",892963.0,23.0,6.0,
SAIKO,2O8vbr4RYPpk6MRA4fio7u,1885922.0,nan,72.0,artist,"3,149.9",2.074,"1,824.2",763.2,374341.0,12.0,0.0,"EMI Odeón Grabaciones Musicales Chile Ltda., SAIKO, Saiko, distribuido por Altafonte, Saiko, Escarabajo Records"
Yandel,6V394G6torkxVfqL39qEgK,729.0,"koplo, dangdut, sholawat",7.0,artist,"11,705.5",4.18,"5,317.0","1,226.9",236439.0,4.0,0.0,
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,164612209.0,"hindi pop, bollywood, desi, bangla pop",90.0,artist,"30,496.1",25.676,"10,879.6","4,404.4",3682715.0,45.0,0.0,
Pritam,1wRPtKGflJrBx9BmLsSwlU,60537662.0,"bollywood, hindi pop, desi",88.0,artist,"23,804.2",20.572,"20,913.4",9.4,2087579.0,21.0,4.0,
Alka Yagnik,3gBKY0y3dFFVRqicLnVZYz,20587774.0,"bollywood, hindi pop, desi",82.0,artist,"6,093.1",5.769,"2,102.3",355.9,1213600.0,10.0,0.0,
Myke Towers,7iK8PXO48WeuP03g8YR51W,22049681.0,"reggaeton, trap latino, urbano latino",85.0,artist,"30,358.5",11.914,"12,411.5","8,388.8",687563.0,7.0,2.0,
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,4814080.0,reggaeton,75.0,artist,"7,202.6",2.392,"4,247.2",775.1,657950.0,17.0,3.0,
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,4214418.0,"dembow, urbano latino, latin",77.0,artist,"8,039.1",4.164,"4,441.8",507.4,2185275.0,14.0,5.0,
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,19290120.0,melodic rap,82.0,artist,"29,969.6",7.904,"19,367.0","15,378.7",68630053.0,31.0,5.0,
Sia,15MhssYzR2iVJ9M3dJtsqm,822.0,nan,12.0,artist,"29,081.8",10.173,"19,407.9","14,398.9",13176205.0,14.0,0.0,
LSD,6IZ4ctovY9dl7bgHClAvKJ,361325.0,nan,60.0,artist,"2,078.3",0.33,nan,nan,4028835.0,9.0,8.0,LSD and the Search for God
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,31914044.0,"nu metal, rap metal, rock, alternative metal",88.0,artist,"28,431.2",19.049,"26,825.5","25,618.1",13720056.0,18.0,11.0,
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,34845662.0,nan,87.0,artist,"27,933.8",14.487,"23,016.6","16,844.9",22351687.0,18.0,15.0,
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,45744646.0,nan,82.0,artist,"27,625.1",6.757,"26,943.1","20,632.2",23693366.0,19.0,12.0,
Sam Smith,2wY79sveU1sp5g7SokKOiI,26317110.0,soft pop,82.0,artist,"27,448.0",7.471,"22,824.5","17,026.1",28747719.0,18.0,6.0,
Shakira,0EmeFodog0BfCgMzAIvKQp,39912067.0,latin pop,86.0,artist,"27,220.7",12.87,"21,014.5","10,249.8",6586973.0,15.0,7.0,
Bizarrap,716NhGYqD1jl2wI1Qkgq36,18240814.0,"argentine trap, trap latino, urbano latino",78.0,artist,"14,389.3",3.113,"12,152.3",81.0,5439043.0,29.0,6.0,
Alan Walker,7vk5e3vY1uw9plTHJAMwjN,41296098.0,nan,78.0,artist,"16,883.8",4.645,"12,898.7","4,955.4",11066512.0,24.0,17.0,
Farruko,329e4yvIujISKGKz1BZZbO,17079799.0,"reggaeton, trap latino",83.0,artist,"27,207.3",8.323,"7,516.7","4,253.0",1587610.0,11.0,3.0,
KEVVO,4QrBoWLm2WNlPdbFhmlaUZ,670628.0,reggaeton,58.0,artist,"1,224.1",0.273,459.3,59.3,380499.0,9.0,0.0,
Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,6451017.0,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",76.0,artist,"7,239.6",2.803,"6,459.7","3,237.8",1989216.0,13.0,0.0,
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,24095348.0,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",86.0,artist,"27,137.5",14.502,"14,454.6","3,395.8",3703046.0,27.0,3.0,
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,9509509.0,nan,83.0,artist,"15,700.4",8.905,"9,053.2","6,302.7",6553815.0,19.0,11.0,
Queen,1dfeR4HaWDbWqFHLkxsg1d,55290795.0,"classic rock, rock, glam rock",83.0,artist,"27,081.1",8.239,"27,001.8","24,858.9",14867943.0,3.0,1.0,
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,5122674.0,nan,71.0,artist,"7,777.6",1.553,"4,922.1","2,856.0",144549768.0,33.0,23.0,
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,14073416.0,country,88.0,artist,"26,757.0",17.053,"22,789.0","20,554.5",4248599.0,16.0,6.0,
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,40309848.0,nan,83.0,artist,"26,625.9",9.313,"26,625.9","26,539.5",19234182.0,17.0,13.0,
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,5632989.0,nan,78.0,artist,"13,632.7",3.61,"3,982.3",692.8,4361502.0,8.0,3.0,
NAV,3ke34gaV0nIhBhRUnAERaq,89.0,nan,3.0,artist,"8,398.4",1.307,"5,400.8","1,782.5",5497164.0,8.0,0.0,
Adele,1d4uM0g9449nE9TV5KeWch,29432.0,"gospel, african gospel",29.0,artist,"26,381.4",9.963,"26,311.1","26,163.1",30106412.0,11.0,11.0,
Idina Menzel,73Np75Wv2tju61Eo9Zw4IR,572545.0,musicals,69.0,artist,"3,800.2",1.412,"2,236.5","1,045.3",6146132.0,10.0,3.0,"Warner Records Inc. P2014 Disney Destinations, LLC., Walkman Records, Inc. under exclusive license to BMG Rights Management (US) LLC, Walkman Records Inc. under exclusive license to Arts Music Inc., a Warner Music Company., Warner Records Inc., UMG Recordings, Inc., SRV LabelCo, LLC, Masterworks Broadway, a label of Sony Music Entertainment / Redwood Onstage Limited Liability Company, Hollywood Records, Inc."
Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,22231073.0,nan,75.0,artist,"10,467.7",3.093,"10,467.7","10,341.4",12083998.0,20.0,17.0,
Kristen Bell,2kHxkdiKCSnHMkhIgFBZaI,164175.0,nan,64.0,artist,"1,760.9",0.609,"1,676.9",117.2,6126510.0,14.0,1.0,"Walt Disney Records, Bob Mervak, Disney Enterprises, Inc., Do Re Mi Productions LLC and Amazon Content Services LLC, under exclusive license to UMG Recordings, Inc."
Harry Styles,6KImCVD70vtIoJWnq6nGn3,34167754.0,nan,81.0,artist,"25,850.0",6.711,"25,850.0","25,850.0",42894791.0,22.0,19.0,
Internet Money,6MPCFvOQv5cIGfw3jODMF0,1039421.0,nan,65.0,artist,"3,584.7",0.607,"2,970.9",3.3,5416319.0,17.0,13.0,"Internet Money / 10K Projects, Internet Money Records / 10K Projects, Internet Money Records / TenThousand Projects"
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,10404869.0,melodic rap,85.0,artist,"25,330.2",11.978,"10,548.3","6,685.0",4748384.0,10.0,1.0,
Young Stoner Life,1xr2G8Hlx4QWmT9HaUbmoO,288886.0,nan,63.0,artist,"1,550.0",0.582,"1,109.7",nan,2661911.0,11.0,2.0,"Young Stoner Life Records / Remain Solid / 300 Entertainment, Young Stoner Life Records / 300 Entertainment, Young Stoner Life Records, LLC/Theory Entertainment LLC, Young Stoner Life Records, LLC/300 Entertainment LLC"
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,32170271.0,"indie, garage rock",85.0,artist,"25,290.0",11.069,"25,290.0","25,290.0",33516391.0,19.0,11.0,
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,53307375.0,nan,81.0,artist,"25,223.1",7.024,"15,113.8","10,409.1",25147519.0,31.0,18.0,
Kygo,23fqKkggKUBHNkbKtXEls4,8671682.0,tropical house,77.0,artist,"18,769.9",2.695,"16,940.5",247.8,6276077.0,27.0,10.0,
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,56281848.0,k-pop,81.0,artist,"15,985.0",6.912,"14,830.1","13,975.0",6443655.0,4.0,3.0,
Katy Perry,6jJ0s89eD6GaHleKKya26X,38489430.0,pop,84.0,artist,"25,057.5",9.597,"22,286.1","17,190.3",20380685.0,25.0,22.0,
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,7337973.0,trap soul,81.0,artist,"24,782.7",6.073,"4,664.7",302.8,9408954.0,7.0,0.0,
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,24539525.0,nan,87.0,artist,"24,558.0",13.0,"21,384.5","10,430.0",34877782.0,20.0,8.0,
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,49253503.0,nan,85.0,artist,"24,211.7",11.74,"24,209.5","22,425.2",29894098.0,17.0,16.0,
Dalex,0KPX4Ucy9dk82uj4GpKesn,5134451.0,reggaeton,73.0,artist,"9,310.8",2.402,"3,833.4",458.0,1102611.0,8.0,2.0,
Guaynaa,0BqURncJM5B1BBu7UM51eq,949328.0,reggaeton,63.0,artist,"2,651.2",0.56,830.0,373.1,518242.0,8.0,3.0,"Guaynaa Records, LLC, Guaynaa Records LLC, Bajo Distribución Exclusiva a ADA, Shots Studios & Music, Inc./ Interscope Records, A Shots Studios & Music/10:22pm/Interscope Records Release, Parulo Records, Guaynaa Records LLC, UMG Recordings, Inc."
G-Eazy,02kJSzxNuaWGqwubyUba0Z,6302291.0,nan,75.0,artist,"14,390.7",2.566,"10,919.9","1,793.7",17793982.0,21.0,0.0,
Halsey,26VFTg2z8YR0cCuwLzESi2,22414645.0,nan,81.0,artist,"23,982.7",5.541,"13,035.4","11,589.6",15992589.0,17.0,9.0,
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,30764355.0,"classic rock, psychedelic rock",83.0,artist,"23,842.0",8.173,"23,839.7","23,834.2",31477134.0,24.0,0.0,
Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,14458705.0,"bollywood, hindi pop, sufi, desi",74.0,artist,"4,094.4",3.39,"1,471.2",614.1,1237850.0,12.0,2.0,"Universal Music India Pvt. Ltd., Zee Music Company, Sony Music Entertainment India Pvt. Ltd., Tips Music Limited Under Exclusive License to Warner\xa0Music, Brhm Media, Netflix Music LLC under exclusive license to Sony Music Entertainment India Pvt. Ltd., Super Cassettes Industries Private Limited"
Atif Aslam,2oSONSC9zQ4UonDKnLqksx,40945744.0,"bollywood, hindi pop, desi, sufi, qawwali",79.0,artist,"6,251.8",6.847,"4,573.0",732.3,1811662.0,9.0,3.0,
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,12094871.0,rap,81.0,artist,"23,559.6",7.746,"10,897.6","4,467.2",10215056.0,13.0,1.0,
2 Chainz,17lzZA2AlOHwCwFALHttmp,8313930.0,"rap, southern hip hop",74.0,artist,"13,437.0",2.522,"3,942.9",864.3,12304507.0,12.0,0.0,
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,15756983.0,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap",81.0,artist,"18,958.1",5.923,"7,462.4","1,638.1",6440243.0,16.0,0.0,
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,15081285.0,rage rap,86.0,artist,"22,956.3",14.11,"13,630.8","8,973.5",18015927.0,17.0,10.0,
Pitbull,0TnOYISbd1XYRBk9myaseg,11971523.0,nan,84.0,artist,"22,601.4",10.749,"15,844.5","1,974.1",4732381.0,17.0,3.0,
Booba,58wXmynHaAWI5hwlPZP3qL,3695876.0,"french rap, french r&b, pop urbaine",72.0,artist,"4,239.7",1.963,"3,149.9","2,175.7",8725193.0,17.0,7.0,"Copar Music, Inc, BBK Music & Chasing My Dreams, BBK Music, Aparataje Music Group, LLC, El Good, Garcia Music INC"
Kollegah,6gto7HVNhu4ARE3P3g8Y5Y,1402331.0,german hip hop,63.0,artist,"2,724.2",0.494,"2,503.4","1,550.7",7456875.0,27.0,0.0,"Alpha Music Empire GmbH, Alpha Music Empire, Asche, ALPHA MUSIC / igroovemusic.com, Selfmade Records"
Marshmello,64KEffDW9EtZ1y2vBYgq8T,34495260.0,edm,80.0,artist,"22,278.1",5.633,"16,511.6","1,639.6",52225092.0,29.0,17.0,
Logic,4xRYI6VqpkE3UwrDrAZL8L,6142377.0,nan,71.0,artist,"12,746.5",1.535,"10,208.8","5,473.1",77945599.0,27.0,14.0,
Far East Movement,698hF4vcwHwPy8ltmXermq,1106631.0,nan,65.0,artist,"2,119.5",0.742,"1,707.4",7.0,1026259.0,17.0,10.0,"Transparent Arts / Integral Studio, Transparent Agency, LLC, Transparent Music x Bugs Corp, Cherrytree/Interscope, Transparent Arts"
